Time,Distance(mm),angleServo1,angleServo2
18:44:15,4.0,0,0
18:44:15,3.0,0,0
18:44:15,3.0,0,0
18:44:15,34.0,0,0
18:44:15,47.0,0,0
18:44:15,81.0,0,0
18:44:15,81.0,0,120
18:44:15,81.0,0,120
18:44:15,319.0,43,120
18:44:15,199.0,19,120
18:44:15,103.0,0,120
18:44:15,141.0,8,120
18:44:15,244.0,28,120
18:44:15,6.0,0,120
18:44:15,1236.0,180,120
18:44:15,1236.0,180,0
18:44:15,1236.0,180,0
18:44:15,0.0,0,0
18:44:15,76.0,0,0
18:44:15,27.0,0,0
18:44:15,12.0,0,0
18:44:15,1788.0,180,0
18:44:15,87.0,0,0
18:44:15,0.0,0,0
18:44:15,0.0,0,0
18:44:15,28.0,0,0
18:44:15,1463.0,180,0
18:44:15,77.0,0,0
18:44:15,26.0,0,0
18:44:15,28.0,0,0
18:44:15,24.0,0,0
18:44:15,24.0,0,0
18:44:15,24.0,0,120
18:44:16,24.0,0,120
18:44:16,40.0,0,120
18:44:16,62.0,0,120
18:44:16,62.0,0,0
18:44:16,62.0,0,0
18:44:16,466.0,73,0
18:44:16,62.0,0,0
18:44:16,62.0,0,120
18:44:16,62.0,0,120
18:44:16,5.0,0,120
18:44:16,0.0,0,120
18:44:16,1478.0,180,120
18:44:16,38.0,0,120
18:44:16,39.0,0,120
18:44:16,39.0,0,0
18:44:16,39.0,0,0
18:44:16,43.0,0,0
18:44:16,39.0,0,0
18:44:16,34.0,0,0
18:44:16,23.0,0,0
18:44:16,19.0,0,0
18:44:16,20.0,0,0
18:44:16,23.0,0,0
18:44:16,27.0,0,0
18:44:16,24.0,0,0
18:44:16,22.0,0,0
18:44:16,20.0,0,0
18:44:16,24.0,0,0
18:44:16,26.0,0,0
18:44:16,32.0,0,0
18:44:16,20.0,0,0
18:44:16,28.0,0,0
18:44:16,23.0,0,0
18:44:16,0.0,0,0
18:44:16,40.0,0,0
18:44:16,40.0,0,120
18:44:16,40.0,0,120
18:44:16,88.0,0,120
18:44:16,97.0,0,120
18:44:16,26.0,0,120
18:44:16,22.0,0,120
18:44:16,0.0,0,120
18:44:17,0.0,0,120
18:44:17,15.0,0,120
18:44:17,2402.0,180,120
18:44:17,28.0,0,120
18:44:17,32.0,0,120
18:44:17,24.0,0,120
18:44:17,28.0,0,120
18:44:17,0.0,0,120
18:44:17,1079.0,180,120
18:44:17,29.0,0,120
18:44:18,24.0,0,120
18:44:18,24.0,0,0
18:44:18,24.0,0,0
18:44:18,29.0,0,0
18:44:18,0.0,0,0
18:44:18,66.0,0,0
18:44:18,1671.0,180,0
18:44:18,50.0,0,0
18:44:18,29.0,0,0
18:44:18,29.0,0,120
18:44:18,29.0,0,120
18:44:19,25.0,0,120
18:44:19,0.0,0,120
18:44:19,0.0,0,0
18:44:19,0.0,0,0
18:44:19,39.0,0,0
18:44:19,41.0,0,0
18:44:19,27.0,0,0
18:44:19,31.0,0,0
18:44:19,17.0,0,0
18:44:19,82.0,0,0
18:44:19,82.0,0,120
18:44:20,82.0,0,120
18:44:20,135.0,7,120
18:44:20,188.0,17,120
18:44:20,133.0,6,120
18:44:20,81.0,0,120
18:44:20,56.0,0,120
18:44:20,1707.0,180,120
18:44:20,23.0,0,120
18:44:20,36.0,0,120
18:44:20,36.0,0,0
18:44:20,36.0,0,0
18:44:21,57.0,0,0
18:44:21,0.0,0,0
18:44:21,1.0,0,0
18:44:21,1753.0,180,0
18:44:21,27.0,0,0
18:44:21,0.0,0,0
18:44:21,67.0,0,0
18:44:21,27.0,0,0
18:44:21,28.0,0,0
18:44:21,33.0,0,0
18:44:22,33.0,0,0
18:44:22,33.0,0,0
18:44:22,33.0,0,0
18:44:22,40.0,0,0
18:44:22,44.0,0,0
18:44:22,39.0,0,0
18:44:22,38.0,0,0
18:44:22,42.0,0,0
18:44:22,41.0,0,0
18:44:24,0.0,0,0
18:44:24,28.0,0,0
18:44:24,43.0,0,0
18:44:24,27.0,0,0
18:44:24,28.0,0,0
18:44:25,20.0,0,0
18:44:25,16.0,0,0
18:44:25,32.0,0,0
18:44:25,11.0,0,0
18:44:25,2.0,0,0
18:44:25,3.0,0,0
18:44:25,2.0,0,0
18:44:25,7.0,0,0
18:44:25,9.0,0,0
18:44:26,12.0,0,0
18:44:26,13.0,0,0
18:44:26,14.0,0,0
18:44:26,20.0,0,0
18:44:26,43.0,0,0
18:44:26,69.0,0,0
18:44:26,20.0,0,0
18:44:26,20.0,0,0
18:44:26,20.0,0,0
18:44:26,728.0,125,0
18:44:26,51.0,0,0
18:44:27,33.0,0,0
18:44:27,26.0,0,0
18:44:27,0.0,0,0
18:44:27,0.0,0,120
18:44:27,0.0,0,120
18:44:27,82.0,0,120
18:44:27,44.0,0,120
18:44:27,48.0,0,120
18:44:27,36.0,0,120
18:44:27,36.0,0,0
18:44:27,36.0,0,0
18:44:28,0.0,0,0
18:44:28,59.0,0,0
18:44:28,59.0,0,120
18:44:28,59.0,0,120
18:44:28,105.0,1,120
18:44:28,133.0,6,120
18:44:28,76.0,0,120
18:44:28,67.0,0,120
18:44:28,27.0,0,120
18:44:28,27.0,0,0
18:44:28,27.0,0,0
18:44:28,60.0,0,0
18:44:29,1.0,0,0
18:44:29,1.0,0,120
18:44:29,1.0,0,120
18:44:29,606.0,101,120
18:44:29,111.0,2,120
18:44:29,35.0,0,120
18:44:29,36.0,0,120
18:44:29,35.0,0,120
18:44:29,29.0,0,120
18:44:29,34.0,0,120
18:44:29,34.0,0,0
18:44:30,34.0,0,0
18:44:30,155.0,11,0
18:44:30,31.0,0,0
18:44:30,0.0,0,0
18:44:30,31.0,0,0
18:44:30,69.0,0,0
18:44:30,94.0,0,0
18:44:30,86.0,0,0
18:44:30,68.0,0,0
18:44:30,60.0,0,0
18:44:31,2106.0,180,0
18:44:31,26.0,0,0
18:44:31,18.0,0,0
18:44:31,0.0,0,0
18:44:31,36.0,0,0
18:44:31,28.0,0,0
18:44:31,2331.0,180,0
18:44:31,32.0,0,0
18:44:31,27.0,0,0
18:44:31,27.0,0,120
18:44:31,27.0,0,120
18:44:32,569.0,93,120
18:44:32,35.0,0,120
18:44:32,44.0,0,120
18:44:32,50.0,0,120
18:44:32,44.0,0,120
18:44:32,41.0,0,120
18:44:32,41.0,0,120
18:44:32,39.0,0,120
18:44:32,41.0,0,120
18:44:33,43.0,0,120
18:44:33,44.0,0,120
18:44:33,39.0,0,120
18:44:33,33.0,0,120
18:44:33,40.0,0,120
18:44:33,40.0,0,120
18:44:33,37.0,0,120
18:44:33,38.0,0,120
18:44:33,41.0,0,120
18:44:33,34.0,0,120
